LOCATION,QUANTITY,METER_NUMBERS,RATE_HR,TIME_LIMIT,TYPE
Halekauwila St. Punchbowl-South,21,"4301-4312, 4349-4357",0.75,2,On-street
Halekauwila St. Punchbowl-South,36,4313-4348,0.75,1,On-street
Hoolai St.,17,5551-5567,0.75,2,On-street
Ilalo St.,18,4201-4218,0.75,2,On-street
Kaheka St.,51,3128-3178,0.75,2,On-street
Kainehe St.,18,5450-5467,0.75,2,On-street
Kalakaua Ave.,10,3241-3250,0.75,1,On-street
Kamakee St.,14,3405-3418,0.75,2,On-street
Kanunu St.,49,2701-2749,0.75,2,On-street
Kapahulu Ave. Ala Wai-Date,18,125-145,0.75,2,On-street
Kapahulu Ave. Date-Alawai,31,181-209,0.75,2,On-street
Kawaiahao St.,52,2201-2252,0.75,2,On-street
Keawe St.,9,3751-3759,0.75,2,On-street
Kihapai St.,22,5400-5421,0.75,2,On-street
Kinau St. Keeaumoku-Makiki (Makai),5,3325-3329,0.75,1,On-street
Kinau St. Makiki-Keeaumoku (Mauka),8,3330-3337,0.75,3,On-street
Kinau St. Ward Victoria,11,3314-3324,0.75,2,On-street
Kohou St.,67,301-537,0.75,2,On-street
Kokohead Ave.,29,103-131,0.75,1,On-street
Kuulei Rd.,32,5200-5231,0.75,2,On-street
Lauhala St.,12,4000-4011,0.75,2,On-street
Liliha St.,16,1040-1055,0.75,1,On-street
Liona St.,9,2801-2809,0.75,2,On-street
Lunalilo St.,15,3338-3352,0.75,3,On-street
Makaloa St.,81,3251-3279,0.75,2,On-street
Makiki St.,7,3353-3359,0.75,3,On-street
Maluniu Ave.,19,5101-5119,0.75,1,On-street
Metcalf St.,34,1400-1433,0.75,2,On-street
Mission Ln.,9,700-708,0.75,2,On-street
N. School St. Frog Ln-Liliha,7,1007-1013,0.75,2,On-street
N. School St. Nuuanu-Waikahalulu,6,1001-1006,0.75,1,On-street
Piikoi St. Kapiolani-Kamaile,16,"2983-2987, 2997-3007",0.75,2,On-street
Pohukaina St.,60,3900-3959,0.75,2,On-street
Poni St.,20,3201-3220,0.75,2,On-street
Puniu St.,12,5500-5511,0.75,2,On-street
Coral-Cooke,3,3547-3549,0.75,1,On-street
Cummins-Kamakee,7,3550-3556,0.75,2,On-street
Rycroft St.,29,2782-2812,0.75,2,On-street
S. King St. Kahuna-Kahoaloha,20,251-278,0.75,2,On-street
Sheridan St.,25,3280-3305,0.75,2,On-street
South St.,36,"2142-2144, 2152-2180, 2183-2186",0.75,2,On-street
South St.,15,"2145-2151, 2187-2194",,1,On-street
University Ave.,38,1435-1472,0.75,2,On-street
Waialae Ave.,67,May-70,0.75,1,On-street
Waimanu St.,42,1901-1961,0.75,2,On-street
Ward Ave. Queen-Ala Moana,37,2008-2044,0.75,1,On-street
Ward Ave. S. King Kapiolani (Ewa),7,2001-2007,0.75,2,On-street
Young St.,56,2823-2878,0.75,2,On-street
